dunkin dawkins
id, verified, followers_count,default_profile_image, retweet_count, favorites_count,retweeted, followers_count_original, urls, hashtags
794708871575117824,false,541,false,0,0,false,null,[{display_url=dragplus.com/post/id/384386…  indices=[82  105]  expanded_url=https://dragplus.com/post/id/38438688  url=https://t.co/rMRLwfVNLN}],[{indices=[73  81]  text=dawkins}]
794752126773764096,false,483,false,0,0,false,null,[{display_url=ln.is/www.snopes.com…  indices=[64  87]  expanded_url=http://ln.is/www.snopes.com/QpwBS  url=https://t.co/p8hjjYM13k}],
794682276697305088,false,24,false,14,0,false,154294,[{display_url=trib.al/mxTnU5s  indices=[76  99]  expanded_url=http://trib.al/mxTnU5s  url=https://t.co/U6SvMirAdr}],
794680955797532672,false,861,false,14,0,false,154294,[{display_url=trib.al/mxTnU5s  indices=[76  99]  expanded_url=http://trib.al/mxTnU5s  url=https://t.co/U6SvMirAdr}],
794679596864143360,false,1210,false,14,0,false,154294,[{display_url=trib.al/mxTnU5s  indices=[76  99]  expanded_url=http://trib.al/mxTnU5s  url=https://t.co/U6SvMirAdr}],
794663239615451136,false,407,false,0,0,false,null,[{display_url=snopes.com/dunkin-donuts-…  indices=[64  87]  expanded_url=http://www.snopes.com/dunkin-donuts-holiday-cup/  url=https://t.co/neJyv0P4YO}],
794638424229773312,false,33,false,0,0,false,null,,
794569832465186816,false,78,false,0,1,false,null,[{display_url=aboveaverage.com/too-far-dunkin…  indices=[88  111]  expanded_url=https://aboveaverage.com/too-far-dunkin-donuts-holiday-cup-is-richard-dawkins-giving-the-finger/  url=https://t.co/V693VxXyOE}],
794545043277115392,false,25,false,0,0,false,null,[{display_url=fb.me/vClXfoPX  indices=[72  95]  expanded_url=http://fb.me/vClXfoPX  url=https://t.co/oMY0LYy2MZ}],
794513701059629056,false,1929,false,0,0,false,null,[{display_url=aboveaverage.com/too-far-dunkin…  indices=[63  86]  expanded_url=https://aboveaverage.com/too-far-dunkin-donuts-holiday-cup-is-richard-dawkins-giving-the-finger/  url=https://t.co/c0MxJVRmSZ}],
